Product Name,Sub Product,Issue,Sub Issue,Company,State Name,Zip Code,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID,Date Recieved
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"NRA Group, LLC",VA,20147,Web,2013-08-07,Closed with non-monetary relief,Yes,No,467801,2013-07-29
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,"SunTrust Banks, Inc.",FL,32818,Referral,2013-08-01,Closed with explanation,Yes,Yes,475728,2013-07-29
Debt collection,Credit card,Communication tactics,Frequent or repeated calls,Wells Fargo & Company,PA,19145,Phone,2013-08-01,Closed with non-monetary relief,Yes,No,468905,2013-07-29
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",OH,45150,Web,2013-07-30,Closed with explanation,Yes,No,469210,2013-07-29
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Northland Group, Inc.",FL,32233,Referral,2013-08-01,Closed with explanation,Yes,No,469252,2013-07-29
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",FL,33133,Web,2013-07-30,Closed with explanation,Yes,No,469340,2013-07-29
Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Alpine Financial Solutions, Inc.",KY,42303,Postal mail,2013-12-04,Closed with explanation,Yes,No,469408,2013-07-29
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,Discover,MA,2043,Web,2013-07-30,Closed with explanation,Yes,No,467427,2013-07-29
Debt collection,Credit card,Communication tactics,Threatened to take legal action,"Borenstein & Associates, LLC",WY,82605,Web,2013-09-17,Closed,Yes,No,469501,2013-07-29
Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,Encore Capital Group,NY,14212,Web,2013-07-30,Closed with explanation,Yes,No,487029,2013-07-31
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Fidelity National Information Services, Inc. (FNIS)",CO,81302,Web,2013-09-17,Closed with explanation,Yes,No,469732,2013-07-30
Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,"Navient Solutions, Inc.",NY,10026,Web,2013-07-29,Closed with explanation,Yes,No,469736,2013-07-30
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,The Moore Law Group,CA,91711,Web,2013-07-30,Closed with explanation,Yes,No,470913,2013-07-31
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Franklin Collection Service, Inc.",IL,60440,Phone,2013-08-01,Closed with explanation,Yes,No,469711,2013-07-30
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Professional Debt Mediation, Inc.",FL,32304,Web,2013-09-19,Closed with explanation,Yes,No,469753,2013-07-30
Debt collection,Mortgage,Communication tactics,Threatened to take legal action,"Select Portfolio Servicing, Inc",NY,11234,Web,2013-07-29,Closed with explanation,Yes,Yes,466892,2013-07-30
Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,Receivables Performance Management LLC,NY,11205,Web,2013-07-31,Closed with explanation,Yes,Yes,470955,2013-07-31
Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"Convergent Resources, Inc.",NV,89074,Referral,2013-08-01,Closed,Yes,No,469810,2013-07-30
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",MD,21078,Web,2013-07-31,Closed with explanation,Yes,No,479648,2013-07-30
Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,Total Recovery Solutions,TX,77551,Web,2013-08-16,Closed with explanation,Yes,Yes,482436,2013-07-31
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Afni, Inc.",NY,14623,Postal mail,2013-07-31,Closed with explanation,Yes,Yes,461803,2013-07-31
Debt collection,Auto,Communication tactics,Frequent or repeated calls,Santander Consumer USA Holdings Inc,IL,62650,Web,2013-07-30,Closed with explanation,Yes,No,469982,2013-07-30
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,PNC Bank N.A.,MD,20667,Web,2013-08-05,Closed with explanation,Yes,Yes,471100,2013-07-31
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,Synchrony Financial,KS,66062,Postal mail,2013-08-01,Closed with explanation,Yes,No,470089,2013-07-30
Debt collection,I do not know,Improper contact or sharing of info,Contacted me after I asked not to,"Platinum Holdings Group, LLC",CA,92504,Web,2013-08-16,Closed with explanation,Yes,Yes,480974,2013-07-31
Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,Bank of America,NV,89014,Phone,2013-08-01,Closed with explanation,Yes,No,469081,2013-07-30
Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,"Navient Solutions, Inc.",WA,98444,Phone,2013-07-31,Closed with explanation,Yes,No,470288,2013-07-30
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",NV,89122,Web,2013-07-31,Closed with explanation,Yes,No,470314,2013-07-30
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,Resurgent Capital Services L.P.,TX,79403,Phone,2013-08-06,Closed with explanation,Yes,No,480992,2013-07-31
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,U.S. Bancorp,OR,97124,Web,2013-07-30,Closed with explanation,Yes,No,470385,2013-07-30
Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,"Navient Solutions, Inc.",CA,95692,Web,2013-07-31,Closed with monetary relief,Yes,No,470418,2013-07-30
